,temp,time,humidity,chance_rain,cloud_coverage
0,64,00:00:00,65,0,8
1,58,03:00:00,72,0,9
2,60,06:00:00,70,0,23
3,70,09:00:00,49,0,17
4,78,12:00:00,34,0,6
5,83,15:00:00,23,0,22
6,83,18:00:00,23,0,22
7,79,21:00:00,33,0,22
