,temp,time,humidity,chance_rain,cloud_coverage
0,64,00:00:00,66,0,14
1,58,03:00:00,78,0,10
2,61,06:00:00,71,0,30
3,68,09:00:00,55,0,20
4,74,12:00:00,42,0,23
5,77,15:00:00,38,0,12
6,79,18:00:00,36,0,11
7,65,21:00:00,76,100,86
