,temp,time,humidity,chance_rain,cloud_coverage
0,53,00:00:00,87,62,63
1,51,03:00:00,93,100,100
2,51,06:00:00,94,70,100
3,54,09:00:00,85,0,100
4,60,12:00:00,61,0,80
5,61,15:00:00,60,100,77
6,58,18:00:00,68,80,64
7,58,21:00:00,75,74,90
