,temp,time,humidity,chance_rain,cloud_coverage
0,68,00:00:00,58,0,29
1,62,03:00:00,71,0,27
2,61,06:00:00,77,0,26
3,65,09:00:00,64,0,36
4,72,12:00:00,51,100,76
5,75,15:00:00,45,100,88
6,68,18:00:00,62,100,70
7,63,21:00:00,83,100,69
