,temp,time,humidity,chance_rain,cloud_coverage
0,58,00:00:00,91,0,9
1,56,03:00:00,91,61,76
2,58,06:00:00,89,0,34
3,63,09:00:00,71,0,18
4,69,12:00:00,51,0,17
5,72,15:00:00,44,0,16
6,72,18:00:00,46,0,21
7,71,21:00:00,56,0,13
