,temp,time,humidity,chance_rain,cloud_coverage
0,60,00:00:00,85,0,12
1,56,03:00:00,91,100,75
2,59,06:00:00,93,0,60
3,62,09:00:00,80,0,32
4,69,12:00:00,51,0,37
5,73,15:00:00,45,79,80
6,69,18:00:00,52,0,42
7,67,21:00:00,59,0,19
